input_id,titulo_input,autores_input,source,source_id,titulo_candidato,autores_candidato,editorial_candidata,idioma_candidato,isbn_13,isbn_10,title_score,authors_score,language_score,publisher_score,score
63,Empowering Marketing and Sales with HubSpot,Resa Gooding,google_books,r-d3EAAAQBAJ,Empowering Marketing and Sales with HubSpot,Resa Gooding,Packt Publishing Ltd,ingles,9781838984434,1838984437,1.0000,1.0000,1.0000,0.5000,0.9500
63,Empowering Marketing and Sales with HubSpot,Resa Gooding,google_books,toEHzgEACAAJ,Empowering Marketing and Sales with HubSpot,Resa Gooding,Packt Publishing,ingles,9781838987145,1838987142,1.0000,1.0000,1.0000,0.5000,0.9500
64,Moodle 4 Administration,Alex Buchner,openlibrary,/works/OL29332860W,Moodle 4 Administration,Alex Büchner,"de Gruyter GmbH, Walter",ingles,9781801816724,1803230320,1.0000,1.0000,1.0000,0.5000,0.9500
65,Moodle 4 E-Learning Course Development,Susan Smith Nash,openlibrary,/works/OL38116112W,Moodle 4 e-Learning Course Development,Susan Smith Nash,"de Gruyter GmbH, Walter",ingles,9781801078399,1801078394,1.0000,1.0000,1.0000,0.5000,0.9500
66,Le Langage Caml,Pierre Weis; Xavier Leroy,openlibrary,/works/OL19883467W,Le Langage Caml,Pierre Weis,InterEditions,frances,9782729606398,2729606394,1.0000,1.0000,1.0000,0.5000,0.9500
67,ML for the Working Programmer,Lawrence C. Paulson,openlibrary,/works/OL3260271W,ML for the working programmer,Lawrence C. Paulson,Cambridge University Press,ingles,9780521565431,052156543X,1.0000,1.0000,1.0000,1.0000,1.0000
67,ML for the Working Programmer,Lawrence C. Paulson,google_books,XppZdaDs7e0C,ML for the Working Programmer,Lawrence C. Paulson,Cambridge University Press,ingles,9780521565431,052156543X,1.0000,1.0000,1.0000,1.0000,1.0000
68,Low-Code Application Development with Appian,Stefan Helzle,openlibrary,/works/OL27806389W,Low-Code Application Development with Appian,Stefan Helzle,"de Gruyter GmbH, Walter",ingles,9781800208278,1800205627,1.0000,1.0000,1.0000,0.5000,0.9500
68,Low-Code Application Development with Appian,Stefan Helzle,google_books,JLhrEAAAQBAJ,Low-Code Application Development with Appian,Stefan Helzle,Packt Publishing Ltd,ingles,9781800208278,1800208278,1.0000,1.0000,1.0000,0.5000,0.9500
69,The Definition of Standard ML,Robin Milner; Mads Tofte; Robert Harper; David MacQueen,openlibrary,/works/OL17832711W,The definition of standard ML,"R. Milner; Robin Milner; Mads Tofte; Harper, Robert; David MacQueen",MIT Press,ingles,9780262631815,0262296993,1.0000,1.0000,1.0000,1.0000,1.0000
69,The Definition of Standard ML,Robin Milner; Mads Tofte; Robert Harper; David MacQueen,openlibrary,/works/OL7950508W,The definition of Standard ML,Robin Milner,MIT Press,ingles,9780262132558,0262631326,1.0000,1.0000,1.0000,1.0000,1.0000
69,The Definition of Standard ML,Robin Milner; Mads Tofte; Robert Harper; David MacQueen,google_books,e0PhKfbj-p8C,The Definition of Standard ML,Robin Milner,MIT Press,ingles,9780262631815,0262631814,1.0000,1.0000,1.0000,1.0000,1.0000
70,The Seasoned Schemer,Daniel P. Friedman; Matthias Felleisen,openlibrary,/works/OL2938930W,The seasoned schemer,Daniel P. Friedman,MIT Press,ingles,9780262332484,0262287889,1.0000,1.0000,1.0000,1.0000,1.0000
